nombreCurso,grupo,profesor,nota,periodo,nombreEstudiante,correoEstudiante
Innovacion y Emprendimiento,1,Florance Simoens,2.2,2021-1,Octavius De Ruggero,ode0@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,2.2,2021-1,Staffard Odeson,sodeson1@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,2.2,2021-1,Olivero Withur,owithur2@edu.com
Innovacion y Emprendimiento,1,Florance Simoens,2.2,2021-1,Stanfield Partener,spartener3@edu.com
Algebra lineal,2,Rudd Giff,2.3,2023-3,Kristi Tindley,ktindley4@edu.com
Algebra lineal,2,Rudd Giff,2.3,2023-3,Elissa Fyldes,efyldes5@edu.com
Algebra lineal,2,Rudd Giff,2.3,2023-3,Kaiser Gowenlock,kgowenlock6@edu.com
Algebra lineal,2,Rudd Giff,2.3,2023-3,Kordula Cattermull,kcattermull7@edu.com
Electiva Profesional 3,1,Christy Brodeau,0.6,2022-3,Zacharie Beckey,zbeckey8@edu.com
Electiva Profesional 3,1,Christy Brodeau,0.6,2022-3,Sisely Shambroke,sshambroke9@edu.com
Electiva Profesional 3,1,Christy Brodeau,0.6,2022-3,Lettie Schimoni,lschimonia@edu.com
Electiva Profesional 3,1,Christy Brodeau,0.6,2022-3,Carin D'Hooghe,cdhoogheb@edu.com
Electiva Profesional 5,1,Carmel Chappelow,4.6,2021-1,Alexina Ruperti,arupertic@edu.com
Electiva Profesional 5,1,Carmel Chappelow,4.6,2021-1,Francisco Mahaddy,fmahaddyd@edu.com
Electiva Profesional 5,1,Carmel Chappelow,4.6,2021-1,Osbourn Mayne,omaynee@edu.com
Electiva Profesional 5,1,Carmel Chappelow,4.6,2021-1,Gwenore Rowland,growlandf@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,4.4,2022-1,Drucill Sparway,dsparwayg@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,4.4,2022-1,Cazzie Heindle,cheindleh@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,4.4,2022-1,Lavina Boulsher,lboulsheri@edu.com
Ingenieria y Sostenibilidad,3,Florina Sandlin,4.4,2022-1,Quinn Blacksell,qblacksellj@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,3.3,2021-3,Duky Reason,dreasonk@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,3.3,2021-3,Miguel Bloodworth,mbloodworthl@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,3.3,2021-3,Parnell Mityushkin,pmityushkinm@edu.com
Comunicación Oral y Escrita,1,Babara Allsupp,3.3,2021-3,Cayla Tookey,ctookeyn@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.4,2023-1,Joyous Stenton,jstentono@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.4,2023-1,Leicester Hollyar,lhollyarp@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.4,2023-1,Karina Loiterton,kloitertonq@edu.com
Electiva de Lectura y Escritura,2,Lenka Do Rosario,1.4,2023-1,Vergil Winfield,vwinfieldr@edu.com
Redes e Infraestructura,3,Fulvia Gravells,5.0,2022-3,Storm Kurtis,skurtiss@edu.com
Redes e Infraestructura,3,Fulvia Gravells,5.0,2022-3,Rosana Steart,rsteartt@edu.com
Redes e Infraestructura,3,Fulvia Gravells,5.0,2022-3,Salim Rosbotham,srosbothamu@edu.com
Redes e Infraestructura,3,Fulvia Gravells,5.0,2022-3,Petunia McNeilly,pmcneillyv@edu.com
Electiva Profesional 3,2,Erena Bruggen,3.0,2023-3,Kipper Ion,kionw@edu.com
Electiva Profesional 3,2,Erena Bruggen,3.0,2023-3,Elwyn Caulcutt,ecaulcuttx@edu.com
Electiva Profesional 3,2,Erena Bruggen,3.0,2023-3,Sinclair Groveham,sgrovehamy@edu.com
Electiva Profesional 3,2,Erena Bruggen,3.0,2023-3,Jdavie McLachlan,jmclachlanz@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,0.4,2022-3,Francklin Rase,frase10@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,0.4,2022-3,Lotti Baggaley,lbaggaley11@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,0.4,2022-3,Gonzales Brymner,gbrymner12@edu.com
Administracion para Ingenieros,3,Fulvia Gravells,0.4,2022-3,Katinka Epgrave,kepgrave13@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.4,2022-3,Aldin Bullard,abullard14@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.4,2022-3,Bradan Trencher,btrencher15@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.4,2022-3,Giacinta Macilhench,gmacilhench16@edu.com
Electiva Profesional 3,3,Berke Patzelt,4.4,2022-3,Everett Haycraft,ehaycraft17@edu.com
Sistemas Operativos,2,Luciana Files,0.2,2022-1,Monti Yoselevitch,myoselevitch18@edu.com
Sistemas Operativos,2,Luciana Files,0.2,2022-1,Martita Leasor,mleasor19@edu.com
Sistemas Operativos,2,Luciana Files,0.2,2022-1,Nels Ludgrove,nludgrove1a@edu.com
Sistemas Operativos,2,Luciana Files,0.2,2022-1,Aidan Von Salzberg,avon1b@edu.com
Algebra lineal,1,Hynda Van Velde,0.4,2021-3,Amii Reville,areville1c@edu.com
Algebra lineal,1,Hynda Van Velde,0.4,2021-3,Ree Smallsman,rsmallsman1d@edu.com
Algebra lineal,1,Hynda Van Velde,0.4,2021-3,Stevie Sarjeant,ssarjeant1e@edu.com
Algebra lineal,1,Hynda Van Velde,0.4,2021-3,Hettie Labb,hlabb1f@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,0.2,2023-1,Malory Shurlock,mshurlock1g@edu.com
Electiva de  Ciencias Sociales,2,Illa McGunley,0.2,2023-1,Gery Davidi,gdavidi1h@edu.com
