usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducación,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
ode0,yin33!!uS,Octavius De Ruggero,ode0@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,3.0
sodeson1,dwn80*Quf,Staffard Odeson,sodeson1@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
owithur2,nnl89v_yJV,Olivero Withur,owithur2@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
spartener3,mie79,Stanfield Partener,spartener3@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,6.0
ktindley4,vbw05Ci,Kristi Tindley,ktindley4@edu.com,Portugal,No,Femenino,Casado,No,No,No,0.0
efyldes5,oba29k*A,Elissa Fyldes,efyldes5@edu.com,Portugal,No,Masculino,Casado,Si,No,No,0.0
kgowenlock6,qra00,Kaiser Gowenlock,kgowenlock6@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
kcattermull7,uhh88uE5il,Kordula Cattermull,kcattermull7@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,4.0
zbeckey8,jac699YZ,Zacharie Beckey,zbeckey8@edu.com,Rumania,No,Femenino,Soltero,No,Si,No,0.0
sshambroke9,ymp271,Sisely Shambroke,sshambroke9@edu.com,Portugal,No,Femenino,Soltero,Si,No,Si,3.0
lschimonia,ktb24sB4,Lettie Schimoni,lschimonia@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
cdhoogheb,"fiy43""",Carin D'Hooghe,cdhoogheb@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,6.0
arupertic,uou999H,Alexina Ruperti,arupertic@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
fmahaddyd,xlx69hMZt,Francisco Mahaddy,fmahaddyd@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
omaynee,"lrl43Q,<",Osbourn Mayne,omaynee@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
growlandf,wpq20w,Gwenore Rowland,growlandf@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
dsparwayg,cjm18,Drucill Sparway,dsparwayg@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
cheindleh,gad52,Cazzie Heindle,cheindleh@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
lboulsheri,ksw429,Lavina Boulsher,lboulsheri@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,9.0
qblacksellj,tga64,Quinn Blacksell,qblacksellj@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
dreasonk,bwg07EvT,Duky Reason,dreasonk@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
mbloodworthl,ety717TFy,Miguel Bloodworth,mbloodworthl@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
pmityushkinm,cqt283bO@,Parnell Mityushkin,pmityushkinm@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
ctookeyn,ixe91&A7,Cayla Tookey,ctookeyn@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
jstentono,udc36p,Joyous Stenton,jstentono@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
lhollyarp,"ney75,bIB",Leicester Hollyar,lhollyarp@edu.com,Portugal,No,Femenino,Soltero,Si,Si,Si,3.0
kloitertonq,nzo13,Karina Loiterton,kloitertonq@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
vwinfieldr,ftp71,Vergil Winfield,vwinfieldr@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,6.0
skurtiss,cdm51w,Storm Kurtis,skurtiss@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
rsteartt,bwv67X1EWg,Rosana Steart,rsteartt@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,9.0
srosbothamu,yqw05Lw3*,Salim Rosbotham,srosbothamu@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
pmcneillyv,wyf29vS4f,Petunia McNeilly,pmcneillyv@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,0.0
kionw,fzr55,Kipper Ion,kionw@edu.com,Portugal,No,Masculino,Soltero,No,No,No,0.0
ecaulcuttx,iln19a/2,Elwyn Caulcutt,ecaulcuttx@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
sgrovehamy,ikn18,Sinclair Groveham,sgrovehamy@edu.com,Portugal,No,Masculino,Soltero,No,No,No,3.0
jmclachlanz,lbx47<Lb,Jdavie McLachlan,jmclachlanz@edu.com,Portugal,No,Masculino,Soltero,Si,No,No,0.0
frase10,adb85b`ij,Francklin Rase,frase10@edu.com,Portugal,No,Masculino,Soltero,No,No,Si,3.0
lbaggaley11,seb58d{,Lotti Baggaley,lbaggaley11@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
gbrymner12,jot753,Gonzales Brymner,gbrymner12@edu.com,Portugal,No,Femenino,Divorciado,No,No,Si,3.0
kepgrave13,fue58,Katinka Epgrave,kepgrave13@edu.com,España,No,Femenino,Soltero,Si,No,No,0.0
abullard14,qgi62/P,Aldin Bullard,abullard14@edu.com,Portugal,No,Femenino,Soltero,Si,No,No,0.0
btrencher15,dxh79C\pq,Bradan Trencher,btrencher15@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
gmacilhench16,jhk83`5,Giacinta Macilhench,gmacilhench16@edu.com,Portugal,Si,Femenino,Soltero,No,No,Si,0.0
ehaycraft17,pno11O@nd,Everett Haycraft,ehaycraft17@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
myoselevitch18,cvy33gyR,Monti Yoselevitch,myoselevitch18@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
mleasor19,"pzr53g,@G",Martita Leasor,mleasor19@edu.com,Portugal,No,Femenino,Soltero,No,No,No,6.0
nludgrove1a,iff91ZdV<,Nels Ludgrove,nludgrove1a@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
avon1b,tsl96Bb0us,Aidan Von Salzberg,avon1b@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,3.0
areville1c,ajz95.g,Amii Reville,areville1c@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,0.0
rsmallsman1d,pqt92s3,Ree Smallsman,rsmallsman1d@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,9.0
ssarjeant1e,aju91,Stevie Sarjeant,ssarjeant1e@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,6.0
hlabb1f,"wcb52+F,",Hettie Labb,hlabb1f@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
mshurlock1g,"cqi10""68",Malory Shurlock,mshurlock1g@edu.com,Portugal,No,Femenino,Soltero,No,Si,Si,0.0
gdavidi1h,pgh63(+nAm,Gery Davidi,gdavidi1h@edu.com,Portugal,No,Femenino,Soltero,No,No,No,3.0
rnendick1i,ndg36,Robinet Nendick,rnendick1i@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
jsinnett1j,xht73C,Jeniece Sinnett,jsinnett1j@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,12.0
rhabbes1k,sgs19,Royal Habbes,rhabbes1k@edu.com,Portugal,No,Femenino,Casado,No,No,No,2.0
dbrookesbie1l,voe47h,Dominga Brookesbie,dbrookesbie1l@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
dsoares1m,ism743,Dacey Soares,dsoares1m@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,0.0
fflanne1n,seh53',Franky Flanne,fflanne1n@edu.com,Portugal,No,Femenino,Soltero,No,No,Si,3.0
jpadkin1o,kxu39r5QUK,Jenilee Padkin,jpadkin1o@edu.com,Portugal,No,Femenino,Soltero,No,No,No,0.0
goleszkiewicz1p,mzm26$y$6,Gillie Oleszkiewicz,goleszkiewicz1p@edu.com,Portugal,No,Femenino,Soltero,No,Si,No,6.0
benric1q,ksz74dy$r,Bo Enric,benric1q@edu.com,Portugal,No,Masculino,Soltero,No,Si,Si,3.0
