usuario,contrasena,rol,nombre,correo,ultimoGradoDeFormacion
"aadcocks46","aI176I|$WBVou","Profesor","Alethea Adcocks","aadcocks46@edu.com","Bachiller"
"aalvy4w","iI157KRhMjBvN","Profesor","Alexandre Alvy","aalvy4w@edu.com","Bachiller"
"acescott","gV501MCw4JRj@L{G","Profesor","Adrianne Cescot","acescott@edu.com","Pregrado"
"afishbie1f","rS166P~=W*zR","Profesor","Anissa Fishbie","afishbie1f@edu.com","Maestria"
"amixon4v","tY474l+A@LYk(3(","Profesor","Ariella Mixon","amixon4v@edu.com","Especializacion"
"aportress4o","dO821+8TF","Profesor","Abdul Portress","aportress4o@edu.com","Doctorado"
"ariseam4p","yI954SF#(IWxF/)","Profesor","Annabal Riseam","ariseam4p@edu.com","Bachiller"
"asmaile3x","fI038hhXA&6|","Profesor","Amby Smaile","asmaile3x@edu.com","Doctorado"
"astitheg","wV824oWkxr@S4","Profesor","Adi Stithe","astitheg@edu.com","Especializacion"
"atiffin4i","uP293fum","Profesor","Albina Tiffin","atiffin4i@edu.com","Doctorado"
"ballsupp1i","gP869B?H.A","Profesor","Babara Allsupp","ballsupp1i@edu.com","Bachiller"
"bbentinck43","kU991DI/kkv1aw","Profesor","Bernetta Bentinck","bbentinck43@edu.com","Especializacion"
"bbinion1n","vC743m*oWlu5","Profesor","Bernette Binion","bbinion1n@edu.com","Bachiller"
"bcary5j","xK536zG(8","Profesor","Barbra Cary","bcary5j@edu.com","Pregrado"
"bdoonican2y","cY841LN/18)","Profesor","Brande Doonican","bdoonican2y@edu.com","Maestria"
"bhabergham3k","zS2174?PNoOhm","Profesor","Bernadene Habergham","bhabergham3k@edu.com","Maestria"
"bo4c","fS188?o9u+","Profesor","Bridgette  Hanvey","bo4c@edu.com","Maestria"
"bpatzelt1w","tH383!!<&RM$A_","Profesor","Berke Patzelt","bpatzelt1w@edu.com","Bachiller"
"bpavese2x","pB299@TZ+FJ7","Profesor","Bartholemy Pavese","bpavese2x@edu.com","Doctorado"
"bskipsea2f","iA179N6pyul{KzC","Profesor","Barri Skipsea","bskipsea2f@edu.com","Pregrado"
"btrussellf","kL237yXO|VH","Profesor","Brear Trussell","btrussellf@edu.com","Doctorado"
"cbrannib","nX483I=qM*c","Profesor","Clem Branni","cbrannib@edu.com","Doctorado"
"cbrodeau2j","qK607+q.1Tc7D_","Profesor","Christy Brodeau","cbrodeau2j@edu.com","Pregrado"
"cbrydonl","cB4593pXxraO5","Profesor","Caldwell Brydon","cbrydonl@edu.com","Bachiller"
"cbuck5e","nV5030/P~","Profesor","Christa Buck","cbuck5e@edu.com","Bachiller"
"cchappelow3a","kG943HtmhAlK","Profesor","Carmel Chappelow","cchappelow3a@edu.com","Bachiller"
"ccornely56","aG668m.}nUaFPk>","Profesor","Cosetta Cornely","ccornely56@edu.com","Doctorado"
"cdoblin4h","cP844LK","Profesor","Carmela Doblin","cdoblin4h@edu.com","Maestria"
"cdugget29","uY462Us=","Profesor","Cordula Dugget","cdugget29@edu.com","Doctorado"
"ceasterfield5f","bS240KQ9O8N/","Profesor","Courtnay Easterfield","ceasterfield5f@edu.com","Especializacion"
"censor38","oU051WKlvxxCZX","Profesor","Craggy Ensor","censor38@edu.com","Bachiller"
"cgoldsterz","fT921CQ!T?>rEI","Profesor","Carlie Goldster","cgoldsterz@edu.com","Doctorado"
"cgrandinw","yV036D0&fihQz?","Profesor","Carita Grandin","cgrandinw@edu.com","Especializacion"
"ckeam1m","nV933J>65o.8&","Profesor","Chet Keam","ckeam1m@edu.com","Maestria"
"cplews4l","iS356VBjxN","Profesor","Claudian Plews","cplews4l@edu.com","Doctorado"
"crenneke4g","tO140IX8||9H","Profesor","Cornie Renneke","crenneke4g@edu.com","Pregrado"
"crobard1x","hR327@bnXjP!LV","Profesor","Chelsea Robard","crobard1x@edu.com","Doctorado"
"csumpnera","cX7398Ov/Yi=q<","Profesor","Conant Sumpner","csumpnera@edu.com","Pregrado"
