usuario,contrasena,name,correo,genero,totalCreditos
cwickerson0,xX2930@V_4v.,Chandler Wickerson,cwickerson0@edu.com,Femenino,90
ckupisz1,xO1872IUz%ow`Qa,Conney Kupisz,ckupisz1@edu.com,Femenino,100
ijiricka2,aO384G8?=,Ivie Jiricka,ijiricka2@edu.com,Femenino,55
lrepper3,dU952dtt,Lauralee Repper,lrepper3@edu.com,Femenino,84
kdingwall4,gY693(DwcVns,Kaile Dingwall,kdingwall4@edu.com,Masculino,65
awishkar5,yD451bIRif),Alysia Wishkar,awishkar5@edu.com,Masculino,11
ojerdein6,iV3180e/ey@,Oates Jerdein,ojerdein6@edu.com,Masculino,137
"vsevier7,""cF436ZL,"",Verile Sevier,vsevier7@edu.com,Masculino,102"
fmathonnet8,iX9023#$S1'/c<%,Fania Mathonnet,fmathonnet8@edu.com,Masculino,5
"mgrason9,""iP151#_D,RI).vR1"",Mattie Grason,mgrason9@edu.com,Femenino,74"
gwillbournea,aZ523Ju`9Cb<nz,Gualterio Willbourne,gwillbournea@edu.com,Femenino,139
rbiersb,sG969A_<>3#VcG,Raina Biers,rbiersb@edu.com,Masculino,104
tiveansc,xC491bDWC2Me0,Terrel Iveans,tiveansc@edu.com,Masculino,47
"gmogenotd,""yU0293<p,x""""\Rn"",Garrett Mogenot,gmogenotd@edu.com,Femenino,80"
"ajennionse,""oT045yuJ6%i""""~,"",Ansel Jennions,ajennionse@edu.com,Femenino,77"
hbernardellif,jU762sU7+b|`e,Hasheem Bernardelli,hbernardellif@edu.com,Femenino,78
"ssaffellg,""gK013""""DX"",Stacee Saffell,ssaffellg@edu.com,Masculino,85"
dsouthertonh,oU041C|Wvz,Dmitri Southerton,dsouthertonh@edu.com,Masculino,86
kthurborni,oS105n'`JbgTo,Kirstin Thurborn,kthurborni@edu.com,Femenino,82
lbabbagej,qZ362+!lRSyMjh,Laurella Babbage,lbabbagej@edu.com,Masculino,105
"dbramahk,""fO194m""""}u(x"",Delmer Bramah,dbramahk@edu.com,Femenino,141"
cpidgeonl,tS215*N(Y}a2JTB/,Christophe Pidgeon,cpidgeonl@edu.com,Femenino,109
"cgiovanninim,""rO479~Y""""AN`oaZ'7"",Cindie Giovannini,cgiovanninim@edu.com,Masculino,107"
eeillesn,pG884q>$nJK,Eirena Eilles,eeillesn@edu.com,Femenino,122
terretto,iC113z1'.sg7h!wa,Tallie Errett,terretto@edu.com,Femenino,27
gcastelluzzip,rW429V#|,Georgianne Castelluzzi,gcastelluzzip@edu.com,Femenino,130
zaberdalgyq,qE097D5Ji5XiQ83,Zacharias Aberdalgy,zaberdalgyq@edu.com,Femenino,131
cswiggsr,mY080~\AR<_d,Caddric Swiggs,cswiggsr@edu.com,Femenino,91
bcleaves,lJ793.BUyU~(g,Bibby Cleave,bcleaves@edu.com,Masculino,100
boffieldt,lQ939'rPh(N7,Blythe Offield,boffieldt@edu.com,Femenino,59
lcouchmanu,iS796v~kkO'i/V,Lucia Couchman,lcouchmanu@edu.com,Femenino,89
hemanuelovv,tC285n*.gB5RlWKJ,Heddie Emanuelov,hemanuelovv@edu.com,Masculino,46
sthorringtonw,iL425&xzgu}kuyqJ,Saunders Thorrington,sthorringtonw@edu.com,Masculino,41
skollaschekx,uS337H1)V_N(I,Salaidh Kollaschek,skollaschekx@edu.com,Femenino,126
mhardingey,wP041p$B@0Fc,Marcos Hardinge,mhardingey@edu.com,Femenino,135
mverbekez,fS082UMoWshY5J,Mickie Verbeke,mverbekez@edu.com,Masculino,16
"kmoffat10,""aJ677Wiip9N""""`d4"",Kaycee Moffat,kmoffat10@edu.com,Femenino,63"
abaptista11,uC075Cyh,Alvy Baptista,abaptista11@edu.com,Femenino,22
spetofi12,gO662A+f+m,Sally Petofi,spetofi12@edu.com,Masculino,92
ncornelisse13,pC706Bh2Kalj+,Nettle Cornelisse,ncornelisse13@edu.com,Masculino,112
dlewsam14,bE852vNVy<8c?LEw,Dru Lewsam,dlewsam14@edu.com,Masculino,121
csmallcomb15,aM329R|B9t7)I,Cal Smallcomb,csmallcomb15@edu.com,Masculino,97
mcucinotta16,gW152DrE~Q},Madison Cucinotta,mcucinotta16@edu.com,Femenino,23
kgrabham17,wN030%IJ8?,Kirsti Grabham,kgrabham17@edu.com,Masculino,95
arois18,dN091jvSx<,Arlina Rois,arois18@edu.com,Masculino,130
pgrovier19,hA727LQgDXVsn,Phebe Grovier,pgrovier19@edu.com,Femenino,103
emelby1a,nH136S'oB2v3rpk,Ephraim Melby,emelby1a@edu.com,Femenino,96
"ebanstead1b,""bU3116W8T0w|y,I"",Edna Banstead,ebanstead1b@edu.com,Femenino,32"
hsharrier1c,qO309Oqt&|,Horatius Sharrier,hsharrier1c@edu.com,Masculino,132
mgroucutt1d,gL954_U189I,Matilde Groucutt,mgroucutt1d@edu.com,Masculino,119
mdenson1e,oO736h+}m8I,Mimi Denson,mdenson1e@edu.com,Masculino,28
adyerson1f,bK234a9)2>wnQh,Alwin Dyerson,adyerson1f@edu.com,Femenino,126
wferrand1g,rM6022dqT,Welch Ferrand,wferrand1g@edu.com,Femenino,83
bguillon1h,gF670G<`n>,Berry Guillon,bguillon1h@edu.com,Femenino,17
"fwelling1i,""iV124(%|oD&'0""""F~"",Ferdy Welling,fwelling1i@edu.com,Femenino,125"
lwallege1j,hA637tk#S#,Llywellyn Wallege,lwallege1j@edu.com,Femenino,27
"ptams1k,""bD915v@},F(bS"",Pierre Tams,ptams1k@edu.com,Masculino,104"
djenken1l,oP402~|Htb',Devonne Jenken,djenken1l@edu.com,Masculino,105
kberthod1m,sS40918rHr,Kerstin Berthod,kberthod1m@edu.com,Masculino,42
"cpoundsford1n,""xS209{Y|,9"",Carie Poundsford,cpoundsford1n@edu.com,Masculino,95"
pgonthier1o,zH779eL5,Pooh Gonthier,pgonthier1o@edu.com,Femenino,13
ddrynan1p,nF826&z/j6,Doloritas Drynan,ddrynan1p@edu.com,Femenino,135
kjeckells1q,vD924td!m485r,Kirsteni Jeckells,kjeckells1q@edu.com,Masculino,130
fbreeder1r,yY158/m9T'&`}),Fifi Breeder,fbreeder1r@edu.com,Femenino,57
ekibbel1s,kX547\(%_ajMc,Eldredge Kibbel,ekibbel1s@edu.com,Femenino,121
"mcaustick1t,""zT178f1,i2iLt#"",Mycah Caustick,mcaustick1t@edu.com,Masculino,96"
"cvan1u,""rJ616lYD""""oj2TZf'"",Catherine Van der Baaren,cvan1u@edu.com,Femenino,54"
cboissier1v,zS780vkf}U$,Charin Boissier,cboissier1v@edu.com,Femenino,72
cnortham1w,tI947yuF,Coreen Northam,cnortham1w@edu.com,Masculino,65
dphillcock1x,wU261o+)XT,Delcina Phillcock,dphillcock1x@edu.com,Masculino,57
clinskey1y,kD433UIGKV}q!P,Clarita Linskey,clinskey1y@edu.com,Masculino,108
ffittis1z,rU371)x!t5HI,Franklin Fittis,ffittis1z@edu.com,Femenino,45
akleynermans20,yS2548PC1cJH.~,Allx Kleynermans,akleynermans20@edu.com,Femenino,65
lmenaul21,zY513t_c1r#f,Lalo Menaul,lmenaul21@edu.com,Femenino,117
ajiras22,yS417.O+/,Abbe Jiras,ajiras22@edu.com,Masculino,15
egulley23,cG4605QG~hi=Y$,Erinn Gulley,egulley23@edu.com,Masculino,12
"jbramwell24,""bK803,Tu}EvqoTd"",Jasun Bramwell,jbramwell24@edu.com,Masculino,92"
cgiorgioni25,vT943<tJ7$SAvBM,Cally Giorgioni,cgiorgioni25@edu.com,Femenino,127
knicklen26,dD863k1\gm3o0U,Kellen Nicklen,knicklen26@edu.com,Femenino,89
snormadell27,rL741xoLIJ2y,Sella Normadell,snormadell27@edu.com,Femenino,28
switham28,oC251(?K,Svend Witham,switham28@edu.com,Masculino,125
"ciglesiaz29,""kR131+q7$p,7urf"",Clementina Iglesiaz,ciglesiaz29@edu.com,Masculino,111"
lcopplestone2a,qF728ps)a,Lusa Copplestone,lcopplestone2a@edu.com,Masculino,85
rsickling2b,mC757ZAc'u,Ruth Sickling,rsickling2b@edu.com,Femenino,39
spiscotti2c,jV329HZsq5qH)K,Sacha Piscotti,spiscotti2c@edu.com,Masculino,84
fcrank2d,hN382`~8@9$Ny,Frans Crank,fcrank2d@edu.com,Femenino,9
tvice2e,oG759$d@,Tally Vice,tvice2e@edu.com,Femenino,79
"foldall2f,""tG271ApMb4&""""Qe"",Florentia Oldall,foldall2f@edu.com,Femenino,117"
ptroake2g,dO128XH>&{8&ZfF,Pierson Troake,ptroake2g@edu.com,Masculino,44
kperrott2h,wL849sre+r/md/,Kincaid Perrott,kperrott2h@edu.com,Femenino,54
dvidgeon2i,nZ987)ywN!mOvW?,Darya Vidgeon,dvidgeon2i@edu.com,Masculino,71
iwartnaby2j,mB265C`2wog6`?E,Ira Wartnaby,iwartnaby2j@edu.com,Masculino,128
mzecchetti2k,gU971o3QMK7J*z3q,Milt Zecchetti,mzecchetti2k@edu.com,Femenino,36
mgladwin2l,aU540%zo`&?kt{v,Mose Gladwin,mgladwin2l@edu.com,Femenino,43
lantognelli2m,hM367Y!dHi,Lydia Antognelli,lantognelli2m@edu.com,Masculino,38
gscarce2n,tJ975fvG@nw,Guenna Scarce,gscarce2n@edu.com,Masculino,138
mspaule2o,tN990F>47R~18qq,Mart Spaule,mspaule2o@edu.com,Masculino,122
bpowrie2p,zN486b5`\a,Brinna Powrie,bpowrie2p@edu.com,Femenino,36
bredon2q,bU430cP9`4xkP!.w,Barrie Redon,bredon2q@edu.com,Masculino,79
"kreiners2r,""xR124>iVvlbt""""e"",Kara-lynn Reiners,kreiners2r@edu.com,Masculino,141"
adumphry2s,mS290Z>M**@G,Aldis Dumphry,adumphry2s@edu.com,Femenino,85
pashwin2t,rM583siJYYsq~,Pierce Ashwin,pashwin2t@edu.com,Masculino,6
kswoffer2u,zY883P!'1U)rz,Kristina Swoffer,kswoffer2u@edu.com,Femenino,59
dsercombe2v,wA451KW{1,Darbee Sercombe,dsercombe2v@edu.com,Femenino,111
sbasek2w,aN1959%3#Mpx&\`,Stanleigh Basek,sbasek2w@edu.com,Masculino,75
gpedrielli2x,wW290D==Zd1**8Ru,Goddard Pedrielli,gpedrielli2x@edu.com,Femenino,77
jliggens2y,bK6650P?tqd,Jeff Liggens,jliggens2y@edu.com,Femenino,70
"vdyball2z,""aF177""""'B+WI$5"",Veda Dyball,vdyball2z@edu.com,Femenino,123"
fhaley30,cH168#$u,Fitz Haley,fhaley30@edu.com,Femenino,127
lgingell31,uF2146zBmpPR.8,Lenee Gingell,lgingell31@edu.com,Femenino,20
hchestnut32,rE057U|crS?xP,Hanson Chestnut,hchestnut32@edu.com,Masculino,4
olaxson33,sF151cD|O>kN,Osborn Laxson,olaxson33@edu.com,Femenino,48
vllewellyn34,yU8317eG1q24kG,Vivien Llewellyn,vllewellyn34@edu.com,Femenino,109
rparadise35,kQ4263dJ,Rodina Paradise,rparadise35@edu.com,Masculino,63
rfosken36,tM9554<$ImI0B,Reinaldos Fosken,rfosken36@edu.com,Masculino,32
"aarmsby37,""wG020,|F`MF|"",Adore Armsby,aarmsby37@edu.com,Masculino,100"
uschiementz38,yD696!Es(489,Uta Schiementz,uschiementz38@edu.com,Masculino,80
sroskelley39,gI865bIg}?dX~q{f,Selie Roskelley,sroskelley39@edu.com,Femenino,94
mhunnicot3a,bF055kT5,Meara Hunnicot,mhunnicot3a@edu.com,Masculino,71
hiacopini3b,lK127DeO,Holt Iacopini,hiacopini3b@edu.com,Masculino,132
