usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducacion,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
lgoodchild0,iJ3j>7#fhF,Luella Goodchild,lgoodchild0@edu.com,Philippines,no,Masculino,Divorciado,no,no,si,0
dhambidge1,eJ6h`dvC?/m,Daffie Hambidge,dhambidge1@edu.com,Pakistan,si,Otro,Viudo,si,si,si,0
nsewards2,hU6219y*`~~NB,Nonna Sewards,nsewards2@edu.com,China,si,Masculino,Soltero,si,no,si,0
rdonson3,"sP6F3q%6u)5VmS""h",Rozalie Donson,rdonson3@edu.com,China,si,Otro,Divorciado,si,si,si,0
ljeschner4,hW5etOfa=%X,Laural Jeschner,ljeschner4@edu.com,Philippines,si,Masculino,Viudo,no,no,no,0
sjacobsohn5,"jO1gk9OQ2N.,",Starla Jacobsohn,sjacobsohn5@edu.com,China,si,Masculino,Viudo,no,si,si,0
gsheavills6,eV4xaF}c,Garwin Sheavills,gsheavills6@edu.com,Poland,si,Femenino,Casado,no,no,no,0
whutable7,yM2ym2_m?SXPZ,Willy Hutable,whutable7@edu.com,Morocco,si,Otro,Casado,no,si,no,0
vmauchlen8,uO4A0+t'6jsz}vM5,Vincenz Mauchlen,vmauchlen8@edu.com,Colombia,no,Otro,Divorciado,si,si,no,0
ameasen9,zJ1Oq)Epmj_9B,Arthur Measen,ameasen9@edu.com,Croatia,no,Otro,Casado,no,no,no,0
ebolina,sF7L/6\tE>_N,Emyle Bolin,ebolina@edu.com,Uzbekistan,no,Otro,Union libre,si,si,si,0
cscargillb,"qY1""rzGG+u,C,T{",Coop Scargill,cscargillb@edu.com,Chile,no,Femenino,Soltero,no,si,si,0
mwoloschinc,"tR3<I,k>xpSb$J",Mersey Woloschin,mwoloschinc@edu.com,Latvia,no,Femenino,Divorciado,si,si,si,0
ahulsond,"sZ0b'f/A""sK4t",Alessandro Hulson,ahulsond@edu.com,China,no,Otro,Viudo,no,no,no,0
