usuario,contrasena,nombre,correo,paisOrigen,necesidadesEspecialesEducacion,genero,estadoCivil,prestamo,beca,desplazado,totalCreditos
mlovering0,xW7@yRl<5{&@2pLg,Mattias Lovering,mlovering0@edu.com,Malaysia,si,Masculino,Casado,no,no,no,0
sbartosik1,wF1\7&T!X.r=v#2W,Saundra Bartosik,sbartosik1@edu.com,China,no,Femenino,Casado,si,no,no,0
bbattison2,vU17EmE7/,Brigitte Battison,bbattison2@edu.com,France,no,Femenino,Divorciado,no,no,si,0
ekoba3,fK1D$9MYY52ySH,Emelita Koba,ekoba3@edu.com,Indonesia,si,Otro,Divorciado,si,si,no,0
cmcelwee4,pL1$_y`Nl%,Carney McElwee,cmcelwee4@edu.com,Philippines,si,Masculino,Casado,si,no,si,0
jstait5,pZ1Wfu*3n3y0F,Jesselyn Stait,jstait5@edu.com,Italy,no,Masculino,Soltero,si,no,no,0
abrambell6,yD1B}Lz5=LVViqMu,Ara Brambell,abrambell6@edu.com,Vietnam,si,Masculino,Casado,no,si,si,0
kmahmood7,aL2Ye|H{j0`,Kylie Mahmood,kmahmood7@edu.com,Brazil,no,Femenino,Divorciado,no,si,no,0
uellington8,eZ29q)=v.)yq9,Udell Ellington,uellington8@edu.com,Indonesia,si,Masculino,Union libre,si,no,no,0
bbachelar9,jB5uL+~qdq#*@5uV,Britte Bachelar,bbachelar9@edu.com,Indonesia,no,Otro,Soltero,si,si,no,0
fterlindena,nU6<_rA@,Filippa Terlinden,fterlindena@edu.com,China,no,Masculino,Casado,no,si,no,0
umquhargeb,hO4Ccs9h~G,Ugo M'Quharge,umquhargeb@edu.com,China,no,Femenino,Viudo,no,no,si,0
ugibardc,jD0|<zfaGZ*,Ugo Gibard,ugibardc@edu.com,Indonesia,no,Masculino,Soltero,si,si,si,0
bstebbingd,gU9V?vvk3@0,Binnie Stebbing,bstebbingd@edu.com,Azerbaijan,si,Otro,Soltero,si,si,si,0
tanneare,gG25w|@5?88j,Theo Annear,tanneare@edu.com,Italy,no,Masculino,Casado,no,si,si,0
jecclesharef,"hN4s*S~r""VZz`z1.",Janek Eccleshare,jecclesharef@edu.com,Dominican Republic,no,Femenino,Union libre,no,no,si,0
ghussellg,iC10g!CWGF@,Gilberta Hussell,ghussellg@edu.com,China,no,Masculino,Soltero,no,no,no,0
